file_name,transcription
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_20.wav,эфт юрртэнҍ аннҍсуввма мунн ля
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_21.wav,коале тонэсьт элля вигк
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_22.wav,мун шэ райя тоййтэ
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_23.wav,мунн иджь тиввлэһче пэ тон
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_24.wav,лышэ коадчесьт оаһка мун
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_25.wav,мунн тоннӭ быдҍсувче пэ
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_26.wav,еннэ вуая мунн
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_27.wav,тэсьт тонэсьт ля мунн оһпнуввма
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_28.wav,танна векьха тоннӭ мунн
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_29.wav,эмм кугкь ялсэһче пэ
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_30.wav,тонэнҍ поалльтэ оаһска мунн
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_31.wav,кассьт ляк тонн
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_32.wav,иммель гуэйкэ
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_33.wav,вузеһтҍ инант
test/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_34.wav,коаллэш каннҍц
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_01.wav,логктэдтмушш
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_02.wav,эххт куһт коллм нелльй
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_03.wav,чуэннчлэгке коамьтамп кругке тыйй
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_04.wav,лышэ нюэммлятҍ елле сурькьхэгке
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_05.wav,раһксенне синэтҍ пынне тыйй
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_06.wav,тэнн гуэйкэ штэ мыйй шэ нюэммьля лебпь
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_07.wav,ноэ водтъенҍ шэнтак тонн
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_08.wav,мыйе быдт адтҍ видже коз не лэммэ
test/sjd20070000NEA_vinogradova-i2007a-04Logktedmussh_09.wav,оалкхувант минэнҍ сирр
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_01.wav,жоннглёрр
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_02.wav,оарр иӈ альн талл
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_03.wav,виллькесь иӈ альн сонн оарр
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_04.wav,я удць тоаллая эвтэсьт
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_05.wav,иӈӈ чагагуэйм серр
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_06.wav,я удць талэнч роаммшэдтэв
test/sjd20070000NEA_vinogradova-i2007a-05Zhonngljorr_07.wav,цирк эвтэсьт ибе маккьсэ
test/sjd20070000NEA_vinogradova-i2007a-06Koazench_01.wav,коазенч Васськ
test/sjd20070000NEA_vinogradova-i2007a-06Koazench_02.wav,тала ли мун коазенч Васськ
