file_name,transcription
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_01.wav,Миннькай
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_02.wav,паррнэ гуэйкэ стиха книга
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_03.wav,кырьйха ли Ыришшьк Виноградова
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_04.wav,художнэһкь Валентина Совкина
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_05.wav,килт самь кил редактэр я корректор ли Нина Афанасьева
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_06.wav,тэдта кыррьй ли выййтма Таввял Кыррьясьт
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_07.wav,ныммьп тоафант коалмант ыгесьт
data/train/sjd20070000NEA_vinogradova-i2007a-01Imprint_08.wav,лоагк Нина Афанасьева
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_01.wav,Миннькай
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_02.wav,мин уцкэньч Миннькай
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_03.wav,шоабашт лаввлэ пляссъе нюччкэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_04.wav,Миннькай весслэнне пырс чуанн
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_05.wav,Элля вигк сон ессктэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_06.wav,ныдтҍ тэль водт ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_07.wav,лянньч нийтням пырс пай чоннэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_08.wav,быдаһч пэ ё ёанхуввэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_09.wav,соарнэ ниййтась еннҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_10.wav,лышэ Миннькай элля ессктэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_11.wav,ныдтҍ тэль водт ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_12.wav,еск тони чоннмэнҍ годтҍ тэль нюлл
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_13.wav,пэря ляһч пэ шэльтэтҍ поажчекь
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_14.wav,угьлест оака сеннтма соннӭ саррн
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_15.wav,пай шэ Миннькай эйй вуэй есскэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_16.wav,ныдтҍ тэль водт ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_17.wav,аджесь письтэ инха рэмэнҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_18.wav,Миннькай оантэшьт санҍха тэнн
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_19.wav,юавв шэнтэ тэсьт шэ пэҏтэсьт
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_20.wav,ныдтҍ тэль водт ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_21.wav,мин уцкай Миннькай
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_22.wav,шоабашт лаввлэ пляссъе нюччкэ
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_23.wav,ноэ пиррсэсьт пукэнҍ туй лев
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_24.wav,Миннькай воальтэ васст
data/train/sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_25.wav,э ныдтҍ тэль водт ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_01.wav,оаһканям
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_02.wav,оаһка оаһка оаһканям
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_03.wav,мун коаллэш оаһканям
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_04.wav,мэййт гыс оаһканям мун вуэлльктэгкь тонн
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_05.wav,лосса ли мыннӭ оаһканям
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_06.wav,тонха оххта ныдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_07.wav,кассть ляк тонн мун коаллэш
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_08.wav,пуэдҍ пэҏҏьтэ оаһканям
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_09.wav,поашта шоаӈькэтҍ мунн
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_10.wav,тулльтсэлант ё чоайй
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_11.wav,оаҏсэһчем пэ аввта куаһтас
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_12.wav,милкнесьт туввсэгуэйм
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_13.wav,автчем пэ пулле чоаенҍ мин иӈкэдан я рыд
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_14.wav,уккьсе тагклэш
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_15.wav,можэ тэдта тонн ляк оаһка
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_16.wav,эйй
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_17.wav,тэдта лышэ коашштадт мыннӭ
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_18.wav,пугк ли айвас пырр
data/train/sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_19.wav,мунн оара пядцлужна
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_01.wav,Нина веһкь
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_02.wav,менн лыһк Марьй оаһка
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_03.wav,Марьй оаһка уһц оаһкэв
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_04.wav,ли Нинасьт шувв наһпь
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_05.wav,наһпь Нина туллье матҍ
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_06.wav,Нина ли шувв веһкь
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_07.wav,пай шэ сонэсьт выйтэ реһкь
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_08.wav,эххт наһпь мурртэй
data/train/sjd20070000NEA_vinogradova-i2007a-08Niina_09.wav,мэнн Нина юрьтэ
data/train/sjd20070000NEA_vinogradova-i2007a-09Mun_01.wav,мун алтэнч
data/train/sjd20070000NEA_vinogradova-i2007a-09Mun_02.wav,тэдта ли мун алтэнч
data/train/sjd20070000NEA_vinogradova-i2007a-09Mun_03.wav,мыйй лебпь каннҍц сонн я мунн
data/train/sjd20070000NEA_vinogradova-i2007a-09Mun_04.wav,татак сонэнҍ каннҍвуд выгкэ
data/train/sjd20070000NEA_vinogradova-i2007a-09Mun_05.wav,танна удла шоабшасьт сон
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_01.wav,логктэдтмушш
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_02.wav,эххт
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_03.wav,куһт
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_04.wav,коллм нелльй выдт
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_05.wav,оалкха тинэтҍ логкэ мунн
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_06.wav,мыйй сиррэпь
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_07.wav,мунн тонн сонн
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_08.wav,тонн ляк водтэй
data/train/sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_09.wav,мыйй пугк поаччкэпь
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_01.wav,мун коаллэш сиря
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_02.wav,мунэсьт ли еннэ сирядтӭ
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_03.wav,ноэ
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_04.wav,эххт ли пукэ пэррьмусса
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_05.wav,нюэммля
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_06.wav,сонн ли годтҍ елльмэнҍ
data/train/sjd20070000NEA_vinogradova-i2007a-11Mun_07.wav,мун коаллшэмусс плюшэвэ нюэммля
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_01.wav,мун кудца Ада
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_02.wav,ли мунэсьт удць кудца
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_03.wav,нюххчма ли слоэнсьт руппса
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_04.wav,нюна ли пуэлэнч налла
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_05.wav,сеййп ли сонэсьт куэӆьценҍ
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_06.wav,уййнлэдэм сонэнҍ чуһкса альн
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_07.wav,я тэнн шэ ханна каннҍцлувэм
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_08.wav,пыһтӭ кудца пеҏьтэ мунн
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_09.wav,эннҍтӭ кудцне Ада нэм
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_10.wav,ли мунэсьт кудца Ада
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_11.wav,сонн ли чофта удцьха
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_12.wav,коз ёада мунн
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_13.wav,тоагэ карр мун кудца Ада
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_14.wav,мунн тон удца
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_15.wav,мун миллвэсь удць кудца
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_16.wav,оар мун луннҍ
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_17.wav,я куллтэл мун
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_18.wav,куэссь вуэлка варра
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_19.wav,тонн милльтэ кар
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_20.wav,куэссь варесьт када
data/train/sjd20070000NEA_vinogradova-i2007a-12Mun_21.wav,танна оз мун варесьт Ада
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_01.wav,Ыришьк коаммгэе барс
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_02.wav,моджесь коаммгатҍ камашатҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_03.wav,мин ыришькайе коавнэм мыйй
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_04.wav,мерьдӭсьтэ синэтҍ нийтэнч
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_05.wav,нючкэшкуэдӭ гу вуэррьвэнч
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_06.wav,милле выррэнҍ Ыришькайе
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_07.wav,тэгка моджесь одт коаммгэнч
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_08.wav,ноэ воалльтешь тэйта коаммгатҍ мин пэһч Ыришькаесьт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_09.wav,я соннӭ эннҍтэшь вуэммь коаммгатҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_10.wav,чофта Ыришшьк шоалэшьт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_11.wav,тэйта моджесь коаммгатҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_12.wav,э коххт шэ татэ Ыришшьк
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_13.wav,тэсьт шэ синэтҍ лафькесьт цагке
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_14.wav,штобэ шэннтэ пукэ эвтэсьт моджесь нийтанҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_15.wav,ведтҍ пукэтҍ коаммга миллсуввенҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_16.wav,ноэ еннӭсь моджесь коаммгатҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_17.wav,удла Ыришькаесьт суӎка пеҋтэль
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_18.wav,мыйй тиӈькэтҍ моакксма лебпь
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_19.wav,коррба милльтан тоабхэбпь
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_20.wav,я энҍтэмь коррба Ыришькайе кидтӭ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_21.wav,ведтҍ тамьпе лийенҍ сон одт коаммга
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_22.wav,олкэс выййтэ мыйй ебпь эсстма
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_23.wav,коххт пуӆтэш эл сонн ышштэль
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_24.wav,коррбэнч вэххтэнне сонн оавведҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_25.wav,удлэнне одт коаммгатҍ тоабэдтҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_26.wav,я эльке синэтҍ удла цагке
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_27.wav,на коххт вуайй гыс тулльедтэ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_28.wav,я ныдтҍ сонн кыҏтхэссьтэ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_29.wav,штэ ми ляннч тэста выйтэ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_30.wav,чуэннчель Ыришшьк юлькэ эл
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_31.wav,коамматҍ сонн эйй томмтма
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_32.wav,ныдтҍ цавьнсэнҍ моджесь коамма
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_33.wav,Ыришькаесьт цебпятҍ юалканҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_34.wav,штэ тэсьт шэ рягэнҍт сонн
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_35.wav,на коххт эйй олльвье абьесьт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_36.wav,я ми гыс шэнтэ синэгуэйм
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_37.wav,можэ эннҍтэшь виресь коаммгатҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_38.wav,ноэ янан ведтҍ вусьтэм мыйй
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_39.wav,а янан элля вуййлаһтӭ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_40.wav,на коххт шэ чуэннчле юллькэ эл
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_41.wav,ныдтҍ сыйй чудзев Ыришькаесьт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_42.wav,тэйе нюэссь я тэгкесь коаммгэгуэйм
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_43.wav,кэджьле пэ еннҍсэсьт соннӭ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_44.wav,пугк сонн ведтҍ шэ тедт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_45.wav,сонн шэ вуайй векьхэ соннӭ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_46.wav,куэссь мадта поабпалт ниййт
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_47.wav,я еннӭсь пукэтҍ мушштэль ми шэнтэ сон удць нийтанҍ
data/train/sjd20070000NEA_vinogradova-i2007a-13Yrishjk_48.wav,нийтням
