file_name,transcription
sjd20070000NEA_vinogradova-i2007a-01Imprint_01.wav,Миннькай
sjd20070000NEA_vinogradova-i2007a-01Imprint_02.wav,паррнэ гуэйкэ стиха книга
sjd20070000NEA_vinogradova-i2007a-01Imprint_03.wav,кырьйха ли Ыришшьк Виноградова
sjd20070000NEA_vinogradova-i2007a-01Imprint_04.wav,художнэһкь Валентина Совкина
sjd20070000NEA_vinogradova-i2007a-01Imprint_05.wav,килт самь кил редактэр я корректор ли Нина Афанасьева
sjd20070000NEA_vinogradova-i2007a-01Imprint_06.wav,тэдта кыррьй ли выййтма Таввял Кыррьясьт
sjd20070000NEA_vinogradova-i2007a-01Imprint_07.wav,ныммьп тоафант коалмант ыгесьт
sjd20070000NEA_vinogradova-i2007a-01Imprint_08.wav,лоагк Нина Афанасьева
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_01.wav,Миннькай
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_02.wav,мин уцкэньч Миннькай
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_03.wav,шоабашт лаввлэ пляссъе нюччкэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_04.wav,Миннькай весслэнне пырс чуанн
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_05.wav,Элля вигк сон ессктэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_06.wav,ныдтҍ тэль водт ныдтҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_07.wav,лянньч нийтням пырс пай чоннэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_08.wav,быдаһч пэ ё ёанхуввэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_09.wav,соарнэ ниййтась еннҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_10.wav,лышэ Миннькай элля ессктэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_11.wav,ныдтҍ тэль водт ныдтҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_12.wav,еск тони чоннмэнҍ годтҍ тэль нюлл
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_13.wav,пэря ляһч пэ шэльтэтҍ поажчекь
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_14.wav,угьлест оака сеннтма соннӭ саррн
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_15.wav,пай шэ Миннькай эйй вуэй есскэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_16.wav,ныдтҍ тэль водт ныдтҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_17.wav,аджесь письтэ инха рэмэнҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_18.wav,Миннькай оантэшьт санҍха тэнн
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_19.wav,юавв шэнтэ тэсьт шэ пэҏтэсьт
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_20.wav,ныдтҍ тэль водт ныдтҍ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_21.wav,мин уцкай Миннькай
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_22.wav,шоабашт лаввлэ пляссъе нюччкэ
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_23.wav,ноэ пиррсэсьт пукэнҍ туй лев
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_24.wav,Миннькай воальтэ васст
sjd20070000NEA_vinogradova-i2007a-02Miinnjkaj_25.wav,э ныдтҍ тэль водт ныдтҍ
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_01.wav,оаһканям
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_02.wav,оаһка оаһка оаһканям
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_03.wav,мун коаллэш оаһканям
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_04.wav,мэййт гыс оаһканям мун вуэлльктэгкь тонн
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_05.wav,лосса ли мыннӭ оаһканям
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_06.wav,тонха оххта ныдтҍ
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_07.wav,кассть ляк тонн мун коаллэш
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_08.wav,пуэдҍ пэҏҏьтэ оаһканям
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_09.wav,поашта шоаӈькэтҍ мунн
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_10.wav,тулльтсэлант ё чоайй
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_11.wav,оаҏсэһчем пэ аввта куаһтас
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_12.wav,милкнесьт туввсэгуэйм
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_13.wav,автчем пэ пулле чоаенҍ мин иӈкэдан я рыд
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_14.wav,уккьсе тагклэш
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_15.wav,можэ тэдта тонн ляк оаһка
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_16.wav,эйй
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_17.wav,тэдта лышэ коашштадт мыннӭ
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_18.wav,пугк ли айвас пырр
sjd20070000NEA_vinogradova-i2007a-03Oahkanjam_19.wav,мунн оара пядцлужна
sjd20070000NEA_vinogradova-i2007a-08Niina_01.wav,Нина веһкь
sjd20070000NEA_vinogradova-i2007a-08Niina_02.wav,менн лыһк Марьй оаһка
sjd20070000NEA_vinogradova-i2007a-08Niina_03.wav,Марьй оаһка уһц оаһкэв
sjd20070000NEA_vinogradova-i2007a-08Niina_04.wav,ли Нинасьт шувв наһпь
sjd20070000NEA_vinogradova-i2007a-08Niina_05.wav,наһпь Нина туллье матҍ
sjd20070000NEA_vinogradova-i2007a-08Niina_06.wav,Нина ли шувв веһкь
sjd20070000NEA_vinogradova-i2007a-08Niina_07.wav,пай шэ сонэсьт выйтэ реһкь
sjd20070000NEA_vinogradova-i2007a-08Niina_08.wav,эххт наһпь мурртэй
sjd20070000NEA_vinogradova-i2007a-08Niina_09.wav,мэнн Нина юрьтэ
sjd20070000NEA_vinogradova-i2007a-09Mun_01.wav,мун алтэнч
sjd20070000NEA_vinogradova-i2007a-09Mun_02.wav,тэдта ли мун алтэнч
sjd20070000NEA_vinogradova-i2007a-09Mun_03.wav,мыйй лебпь каннҍц сонн я мунн
sjd20070000NEA_vinogradova-i2007a-09Mun_04.wav,татак сонэнҍ каннҍвуд выгкэ
sjd20070000NEA_vinogradova-i2007a-09Mun_05.wav,танна удла шоабшасьт сон
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_01.wav,логктэдтмушш
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_02.wav,эххт
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_03.wav,куһт
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_04.wav,коллм нелльй выдт
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_05.wav,оалкха тинэтҍ логкэ мунн
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_06.wav,мыйй сиррэпь
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_07.wav,мунн тонн сонн
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_08.wav,тонн ляк водтэй
sjd20070000NEA_vinogradova-i2007a-10Logktedmussh_09.wav,мыйй пугк поаччкэпь
sjd20070000NEA_vinogradova-i2007a-11Mun_01.wav,мун коаллэш сиря
sjd20070000NEA_vinogradova-i2007a-11Mun_02.wav,мунэсьт ли еннэ сирядтӭ
